Timestamp,Username,Which best describes your gender?,Age,occupation,education,Investment,proportion,rank,rank,rank,rank,rank,rank,rank,stock_invest,factors,Investment_objective,investment_time,monitor_investment,expect_return,Preferred_avenue,Savings_objective,Reason_equity,Reason_MF,purpose_investment,Reason_gb,Reason_fd,source
2023/04/09 9:14:59 PM GMT+5:30,,Male,39,Salaried,Post Graduate,Yes,10% - 20%,3,3,3,3,5,5,5,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Fixed Deposits,Retirement Plan,Power of compounding,Better Returns,Savings for retirement,Safe Investment,Fixed returns,Newspapers and Magazines
2023/04/09 9:25:23 PM GMT+5:30,,Male,30,Salaried,Post Graduate,Yes,20% - 30%,3,6,2,2,2,2,3,Yes,Locking period,Capital appreciation,More than 5 years,Weekly,10% - 20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Risk-free returns,Fixed returns,Internet
2023/04/09 9:34:18 PM GMT+5:30,,Female,26,Salaried,Professional Degree,No,30% and above,7,4,3,3,4,4,4,Yes,Returns,Income,More than 5 years,Weekly,10% - 20%,Mutual Funds,Retirement Plan,Liquidity,Better Returns,Wealth creation,Risk-free returns,Fixed returns,Internet
2023/04/09 9:36:55 PM GMT+5:30,,Male,32,Salaried,Post Graduate,Yes,10% - 20%,7,5,2,4,3,2,3,Yes,Returns,Capital appreciation,3-5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Funds Diversification,Savings for retirement,Risk-free returns,Risk free,Internet
2023/04/09 9:37:42 PM GMT+5:30,,Male,28,Salaried,Professional Degree,Yes,30% and above,4,6,4,3,1,2,3,Yes,Returns,Capital appreciation,1-3 years,Daily,10% - 20%,Equity,Retirement Plan,Capital Appreciation,Tax Benefits,Wealth creation,Tax Incentives,Fixed returns,Internet
2023/04/09 9:54:42 PM GMT+5:30,,Male,35,Salaried,Post Graduate,Yes,20% - 30%,3,1,2,7,5,4,6,Yes,Returns,Capital appreciation,3-5 years,Monthly,10% - 20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Tax Incentives,High Interest Rates,Newspapers and Magazines
2023/04/09 9:59:03 PM GMT+5:30,,Female,24,Salaried,Post Graduate,Yes,30% and above,7,6,4,6,7,6,4,Yes,Returns,Capital appreciation,1-3 years,Daily,20% and above,Mutual Funds,Retirement Plan,Capital Appreciation,Funds Diversification,Wealth creation,Risk-free returns,Risk free,Internet
2023/04/09 10:06:29 PM GMT+5:30,,Female,36,Others,Others,Yes,20% - 30%,7,7,4,4,2,3,3,Yes,Returns,Capital appreciation,3-5 years,Weekly,10% - 20%,Equity,Retirement Plan,Power of compounding,Better Returns,Wealth creation,Safe Investment,Risk free,Internet
2023/04/09 10:08:27 PM GMT+5:30,,Male,50,Salaried,Others,Yes,10% - 20%,6,4,3,7,6,6,5,No,Risk,Capital appreciation,More than 5 years,Monthly,10% - 20%,Gold / SGBs,Retirement Plan,Power of compounding,Funds Diversification,Wealth creation,Safe Investment,Easy to invest in FD,Newspapers and Magazines
2023/04/09 10:08:28 PM GMT+5:30,,Female,45,Salaried,Ph. D,Yes,5% - 10%,4,5,2,4,5,7,5,Yes,Returns,Growth,More than 5 years,Weekly,10% - 20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/09 10:11:47 PM GMT+5:30,,Male,41,Salaried,Post Graduate,Yes,5% - 10%,7,4,6,5,3,5,7,Yes,Risk,Capital appreciation,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Dividend Income,Funds Diversification,Returns,Safe Investment,Risk free,Newspapers and Magazines
2023/04/09 10:15:04 PM GMT+5:30,,Male,36,Salaried,Post Graduate,Yes,5% - 10%,7,6,1,6,1,2,2,Yes,Risk,Income,1-3 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Funds Diversification,Returns,Risk-free returns,Risk free,Financial Consultant
2023/04/09 10:21:42 PM GMT+5:30,,Male,25,Salaried,Post Graduate,Yes,5% - 10%,2,2,1,4,4,3,3,Yes,Locking period,Capital appreciation,1-3 years,Daily,10% - 20%,Mutual Funds,Education,Capital Appreciation,Better Returns,Savings for retirement,Risk-free returns,High Interest Rates,Financial Consultant
2023/04/09 10:23:30 PM GMT+5:30,,Male,24,Self-employed,Post Graduate,Yes,10% - 20%,2,6,3,2,2,4,6,Yes,Risk,Growth,More than 5 years,Monthly,10% - 20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Savings for retirement,Tax Incentives,Risk free,Internet
2023/04/09 10:29:14 PM GMT+5:30,,Female,35,Salaried,Post Graduate,No,10% - 20%,5,7,4,7,7,7,7,No,Returns,Growth,3-5 years,Weekly,20% and above,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Savings for retirement,Risk-free returns,Easy to invest in FD,Financial Consultant
2023/04/09 10:31:14 PM GMT+5:30,,Male,27,Salaried,Post Graduate,Yes,10% - 20%,6,6,4,4,5,7,5,Yes,Returns,Capital appreciation,1-3 years,Weekly,10% - 20%,Equity,Retirement Plan,Power of compounding,Funds Diversification,Wealth creation,Risk-free returns,Easy to invest in FD,Newspapers and Magazines
2023/04/09 10:34:43 PM GMT+5:30,,Male,23,Salaried,Under Graduate,Yes,30% and above,5,7,3,2,1,4,3,Yes,Returns,Income,More than 5 years,Daily,10% - 20%,Equity,Education,Dividend Income,Funds Diversification,Wealth creation,Safe Investment,Fixed returns,Internet
2023/04/09 10:41:26 PM GMT+5:30,,Male,27,Salaried,Post Graduate,No,30% and above,3,4,5,6,5,5,7,Yes,Returns,Capital appreciation,3-5 years,Monthly,10% - 20%,Fixed Deposits,Healthcare,Dividend Income,Better Returns,Savings for retirement,Risk-free returns,High Interest Rates,Internet
2023/04/09 10:49:18 PM GMT+5:30,,Male,28,Self-employed,Under Graduate,Yes,10% - 20%,7,4,1,1,6,5,2,Yes,Returns,Growth,More than 5 years,Monthly,10% - 20%,Mutual Funds,Retirement Plan,Capital Appreciation,Better Returns,Savings for retirement,Risk-free returns,Easy to invest in FD,Financial Consultant
2023/04/09 10:51:22 PM GMT+5:30,,Male,25,Salaried,Post Graduate,Yes,5% - 10%,2,1,3,4,5,7,6,Yes,Risk,Income,1-3 years,Daily,5% - 10%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Returns,Safe Investment,Risk free,Internet
2023/04/09 10:56:17 PM GMT+5:30,,Female,28,Salaried,Post Graduate,Yes,5% - 10%,3,5,4,3,4,5,6,No,Returns,Income,More than 5 years,Monthly,5% - 10%,PPF - Public Provident Fund,Retirement Plan,Power of compounding,Better Returns,Returns,Risk-free returns,Fixed returns,Internet
2023/04/09 11:04:45 PM GMT+5:30,,Male,34,Salaried,Others,Yes,5% - 10%,5,6,3,3,5,6,5,Yes,Returns,Growth,1-3 years,Daily,10% - 20%,Equity,Retirement Plan,Power of compounding,Tax Benefits,Savings for retirement,Tax Incentives,High Interest Rates,Internet
2023/04/09 11:11:35 PM GMT+5:30,,Female,27,Salaried,Post Graduate,Yes,10% - 20%,7,6,4,4,5,4,6,Yes,Risk,Growth,1-3 years,Weekly,5% - 10%,Mutual Funds,Retirement Plan,Power of compounding,Funds Diversification,Returns,Risk-free returns,Easy to invest in FD,Internet
2023/04/09 11:18:38 PM GMT+5:30,,Female,31,Salaried,Post Graduate,No,5% - 10%,5,7,2,3,7,7,3,No,Returns,Income,3-5 years,Monthly,10% - 20%,Fixed Deposits,Retirement Plan,Liquidity,Better Returns,Returns,Safe Investment,Risk free,Internet
2023/04/09 11:30:18 PM GMT+5:30,,Male,30,Salaried,Professional Degree,Yes,5% - 10%,6,7,4,3,2,3,4,Yes,Returns,Growth,3-5 years,Monthly,10% - 20%,Equity,Retirement Plan,Power of compounding,Better Returns,Wealth creation,Safe Investment,Risk free,Internet
